date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:54:24	79/79	---M--	200	added ('OK')	text/plain	etag:W/%224f-163e57f5f40%22	http://localhost:7200/robots.txt		(from )
05:54:24	13303/13303	---M--	200	added ('OK')	text/html	etag:W/%2233f7-ntongeh/1DYUJ+q4AwSxCOFKxBQ%22	http://localhost:7200/	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/index.html	(from )
05:54:25	4521/4521	---M--	200	added ('OK')	image/png	etag:W/%2211a9-1649f036830%22	http://localhost:7200/apple-icon-57x57.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-57x57.png	(from http://localhost:7200/)
05:54:25	4855/4855	---M--	200	added ('OK')	image/png	etag:W/%2212f7-1649f036830%22	http://localhost:7200/apple-icon-60x60.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-60x60.png	(from http://localhost:7200/)
05:54:25	6048/6048	---M--	200	added ('OK')	image/png	etag:W/%2217a0-1649f036830%22	http://localhost:7200/apple-icon-72x72.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-72x72.png	(from http://localhost:7200/)
05:54:26	6508/6508	---M--	200	added ('OK')	image/png	etag:W/%22196c-1649f036830%22	http://localhost:7200/apple-icon-76x76.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-76x76.png	(from http://localhost:7200/)
05:54:26	11105/11105	---M--	200	added ('OK')	image/png	etag:W/%222b61-1649f036830%22	http://localhost:7200/apple-icon-114x114.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-114x114.png	(from http://localhost:7200/)
05:54:28	11858/11858	---M--	200	added ('OK')	image/png	etag:W/%222e52-1649f036830%22	http://localhost:7200/apple-icon-120x120.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-120x120.png	(from http://localhost:7200/)
05:54:29	15733/15733	---M--	200	added ('OK')	image/png	etag:W/%223d75-1649f036830%22	http://localhost:7200/apple-icon-144x144.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-144x144.png	(from http://localhost:7200/)
05:54:29	16963/16963	---M--	200	added ('OK')	image/png	etag:W/%224243-1649f036830%22	http://localhost:7200/apple-icon-152x152.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-152x152.png	(from http://localhost:7200/)
05:54:29	2385/2385	---M--	200	added ('OK')	image/png	etag:W/%22951-1649f036830%22	http://localhost:7200/favicon-32x32.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/favicon-32x32.png	(from http://localhost:7200/)
05:54:30	1410/1410	---M--	200	added ('OK')	image/png	etag:W/%22582-1649f036830%22	http://localhost:7200/favicon-16x16.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/favicon-16x16.png	(from http://localhost:7200/)
05:54:30	720/720	---M--	200	added ('OK')	application/json	etag:W/%222d0-1649f036830%22	http://localhost:7200/manifest.json	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/manifest.json	(from http://localhost:7200/)
05:54:30	22140/22140	---M--	200	added ('OK')	image/png	etag:W/%22567c-1649f036830%22	http://localhost:7200/apple-icon-180x180.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-180x180.png	(from http://localhost:7200/)
05:54:30	8822/8822	---M--	200	added ('OK')	image/png	etag:W/%222276-1649f036830%22	http://localhost:7200/favicon-96x96.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/favicon-96x96.png	(from http://localhost:7200/)
05:54:31	24536/24536	---M--	200	added ('OK')	image/png	etag:W/%225fd8-1649f036830%22	http://localhost:7200/android-icon-192x192.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/android-icon-192x192.png	(from http://localhost:7200/)
05:54:32	140421/140421	---M-Z	200	added ('OK')	text/css	etag:%221523290490%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.0/css/bootstrap.min.css	C:/My%20Web%20Sites/http___localhost_7200_/stackpath.bootstrapcdn.com/bootstrap/4.1.0/css/bootstrap.min.css	(from http://localhost:7200/)
05:54:32	15733/15733	---M--	200	added ('OK')	image/png	etag:W/%223d75-1649f036830%22	http://localhost:7200/ms-icon-144x144.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/ms-icon-144x144.png	(from http://localhost:7200/)
05:54:33	41065/41065	---MCZ	200	added ('OK')	text/css	etag:W/%22d61bfe9b56c13ecff5313ee3abb45e8b%22	https://use.fontawesome.com/releases/v5.0.13/css/all.css	C:/My%20Web%20Sites/http___localhost_7200_/use.fontawesome.com/releases/v5.0.13/css/all.css	(from http://localhost:7200/)
05:54:35	2898/2898	---M--	200	added ('OK')	text/css	etag:W/%22b52-164a0105874%22	http://localhost:7200/one-page-wonder.css	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/one-page-wonder.css	(from http://localhost:7200/)
05:54:35	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/My%20Web%20Sites/http___localhost_7200_/code.jquery.com/jquery-3.3.1.min.js	(from http://localhost:7200/)
05:54:35	2975/2975	---M--	200	added ('OK')	text/css	etag:W/%22b9f-16392846bf0%22	http://localhost:7200/style.css	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/style.css	(from http://localhost:7200/)
05:54:35	8102/8102	---M--	200	added ('OK')	image/png	etag:W/%221fa6-1649f05f5fa%22	http://localhost:7200/img/Account-Optimizer.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/img/Account-Optimizer.png	(from http://localhost:7200/)
05:54:36	18354/18354	---M--	200	added ('OK')	text/html	etag:W/%2247b2-8qXzRYkdVdyKpRMyrX8ljzVwlks%22	http://localhost:7200/verified-neteller-and-bet365-account	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/verified-neteller-and-bet365-account.html	(from http://localhost:7200/)
05:54:41	54212/54212	---M--	200	added ('OK')	image/jpeg	etag:W/%22d3c4-1649f05f5e6%22	http://localhost:7200/img/02.jpg	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/img/02.jpg	(from http://localhost:7200/)
05:54:43	135394/135394	---M--	200	added ('OK')	image/jpeg	etag:W/%22210e2-1649ff38d6d%22	http://localhost:7200/img/home.jpg	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/img/home.jpg	(from http://localhost:7200/)
